Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Range (km),Available Colors,Max Horsepower (Ps)_is_imputed,Seat Height (mm)_is_imputed,Curb Weight (kg)_is_imputed,Fuel Tank Capacity (L)_is_imputed,Max Speed (km/h)_is_imputed
金城 金童 JC70,7380,Jincheng,Mini,Domestic,Not Specified,single cylinder four stroke air-cooled 70cc,5.0,3.7/2500,cycle 4th gear,none,xx(mm),1380x660x855,770.0,73.0,8.0,52.0,2.13,Not specified,red and white color scheme,False,True,False,False,False
金城 金童 JC50,7080,Jincheng,Mini,Domestic,Not Specified,single cylinder four stroke air-cooled 50cc,5.0,3.7/7500,cycle 4th gear,none,xx(mm),1430x560x900,660.0,130.0,4.5,70.0,1.6,250,Not Specified,False,False,True,False,False
金城 悟空110,7680,Jincheng,Mini,Domestic,Nanjing Jincheng Machinery Co,single cylinder four stroke air-cooled 110cc,6.8,5/7500,cycle 4-speed,Not specified,Not specified,1500x640x900,650.0,77.0,6.5,80.0,Not specified,300,"turquoise green, fantasy gray",False,False,False,False,False
金城 LAKO 110,7480,Jincheng,Mini,Domestic,Nanjing Jincheng Machinery Co,single cylinder air-cooled 110cc,6.8,5/7500,cycle 4-speed,Not specified,Not specified,1565x556x1043,670.0,81.0,3.5,80.0,Not specified,Not specified,"Starry Sky Black, Wind Thunder Red",False,False,False,False,False
金城 小金鹿 JC50Q-20,8985,Jincheng,Mini,Domestic,Not Specified,single cylinder four stroke air-cooled 50cc,2.7,2/7500,international 4-speed,none,xx(mm),1450x525x925,630.0,79.0,3.5,50.0,1.71,Not specified,"Diamond Black, Charm Blue",False,False,False,False,False
金城 金童边三轮,12380,Jincheng,Three wheel,Domestic,Nanjing Jincheng Machinery Co,single cylinder four stroke air-cooled 70cc,5.0,3.7/,Not specified,Not specified,xx(mm),1980x1310x880,650.0,130.0,8.0,52.0,Not specified,Not specified,"yellow, black",False,False,True,False,False
金城 JC125-7BV,5800,Jincheng,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,10.3,7.6/,Not specified,Not specified,Not specified,1985x810x1106,770.0,116.0,11.0,95.0,2,Not specified,Not Specified,False,True,False,False,True
金城 炫跑JC125-17HV,5880,Jincheng,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,10.3,7.6/7500,Not specified,Not specified,Not specified,2010x745x1115,770.0,126.0,14.0,95.0,2,Not specified,Not Specified,False,True,False,False,True
金城 金城刀JC125-17HV,6380,Jincheng,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,10.9,8/8000,Not specified,Not specified,Not specified,2065x750x1100,770.0,130.0,12.0,95.0,Not specified,Not specified,Not Specified,False,True,True,False,False
金城 GX125,6380,Jincheng,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,11.28,8.3/8500,2,Not specified,Not specified,2015,760.0,117.0,15.0,110.0,2,Not specified,Not Specified,False,False,False,False,False
金城 猎枭SJ150-2,7380,Jincheng,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.3,8.3/7500,Not specified,Not Specified,Not specified,2050x755x1100,770.0,127.0,0.0,90.0,Not specified,Not specified,Not Specified,False,True,False,False,False
金城 战枭JC125-28,8800,Jincheng,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,10.1,7.4/7500,Not specified,Not specified,Not specified,2030x750x1090,770.0,115.0,15.0,90.0,Not specified,Not specified,Not Specified,False,True,False,False,False
金城 警用车JC250-6,14375,Jincheng,Street car,domestic production,Not Specified,Sichongch air-cooled 250cc,17.7,13/8000,Not specified,Not specified,Not specified,2135x855x1175,730.0,130.0,15.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
金城 JC250-7,14800,Jincheng,Street car,domestic production,Not Specified,single cylinder four stroke water-cooled 250cc,25.2,18.5/9000,Not specified,Not Specified,Not specified,2185x775x1220,800.0,181.0,20.0,105.0,2.9,Not specified,Not Specified,False,False,False,False,False
金城 K-Cross 200,17800,Jincheng,Tension,domestically produced,Not Specified,single cylinder four stroke water-cooled 200cc,19.2,14.1/8250,Not specified,standard,Not specified,2040x785x1220,770.0,142.0,12.5,130.0,Not specified,Not specified,Not Specified,False,False,False,False,False
金城 灿星JC110-19V,4820,Jincheng,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,6.7,4.9/7000,Not specified,Not specified,Not specified,2020x680x1095,770.0,130.0,4.0,80.0,1,Not specified,Not Specified,False,True,True,False,False
金城 新天星SJ110,5800,Jincheng,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.8,5.74/7500,gear,not,Not specified,1905,780.0,90.0,6.0,88.0,2,Not specified,Not Specified,False,False,False,False,False
金城 天逸SJ125-2,6780,Jincheng,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,8.2,6/7000,Not specified,Not Specified,Not specified,1875x650x1075,770.0,100.0,3.4,86.0,Not specified,Not specified,Red and Black,False,True,False,False,False
金城 提拉米苏 200 警用版,Currently no quotation available,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 200cc,19.0,14/,CVT continuously variable transmission,standard,Not specified,2025x710x1170,810.0,160.0,8.0,130.0,2.6,Not specified,Not Specified,False,False,False,False,False
金城 森林之王 特警版,Currently no quotation available,Jincheng,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,standard,xx(mm),Not Specified,770.0,130.0,9.0,100.0,Not Specified,179,Not Specified,True,True,True,True,False
金城 草蜢 200 警用版,Currently no quotation available,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 189cc,19.2,14.1/8250,continuously variable transmission,none,Not specified,1990x745x1135,800.0,130.0,7.8,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
波速尔 精灵60,3980,Bosuer,Mini,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 60cc,2.4,1.8/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1200x360x630,570.0,130.0,3.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 PH02E,5380,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 125cc,8.8,6.5/7000,reciprocating 4-speed,Not specified,Not specified,1630x730x1000,670.0,130.0,3.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 猎豹,7580,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 250cc,16.3,12/7000,international 5-speed,Not specified,Not specified,1930x790x1010,880.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 M5,7880,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 223cc,16.3,12/7500,international 5-speed,Not specified,Not specified,2120x820x1120,930.0,130.0,6.5,95.0,Not specified,Not specified,"black, red",False,False,True,False,True
波速尔 J3D,8480,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 250cc,20.4,15/7500,international 5-speed,Not specified,Not specified,1930x790x1040,930.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 M1,8580,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 250cc,20.4,15/7500,international 5-speed,Not specified,Not specified,2120x820x1240,930.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 M11,10800,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 250cc,25.8,19/9000,international 6-speed,Not specified,Not specified,2120x820x1240,930.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 J11,11980,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 300cc,25.8,19/9000,international 6-speed,Not specified,Not specified,2120x820x1220,930.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 M10,12980,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke air-cooled 250cc,25.8,19/9000,international 6-speed,Not specified,Not specified,2120x820x1240,930.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 M6,15800,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke water-cooled 300cc,26.9,19.8/8500,international 6-speed,Not specified,Not specified,2140x820x1270,930.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 J5R,19800,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke water-cooled 300cc,35.1,25.8/9000,international 6-speed,Not specified,Not specified,2170x820x1270,940.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 M4 竞技版,20800,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke water-cooled 250cc,25.8,19/9000,international 6-speed,Not specified,Not specified,2170x820x1270,940.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 M9,20800,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke water-cooled 450cc,43.5,32/9000,international 6-speed,Not specified,Not specified,2170x820x1270,940.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 猛禽,22800,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke water-cooled 300cc,35.1,25.8/9500,international 6-speed,Not specified,Not specified,2170x820x1270,940.0,130.0,6.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
波速尔 XT-1,6280,Bosur,Not Specified,Not Specified,Zhejiang Bosuer Sports Equipment Co,single cylinder four stroke 125cc,8.8,6.5/7000,Not specified,Not specified,Not specified,1250x750x960,660.0,130.0,3.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
五羊 山鹰,13800,Wuyang,Sports car,domestic production,Guangzhou Wuyang Motorcycle Co,inline dual cylinder four stroke water-cooled 250cc,25.2,18.5/8500,international 6-speed,standard,xx(mm),2060x710x1140,780.0,165.0,17.0,120.0,Not specified,Not specified,"green, blue, red",False,False,False,False,False
五羊 山猫,13800,Wuyang,Sports car,domestic production,Guangzhou Wuyang Motorcycle Co,inline dual cylinder four stroke water-cooled 250cc,25.2,18.5/8500,international 6-speed,standard,xx(mm),2060x710x1140,780.0,165.0,17.0,120.0,Not specified,Not specified,"black, green, white",False,False,False,False,False
五羊 啸250,18800,Wuyang,Sports car,domestic production,Guangzhou Wuyang Motorcycle Co,inline dual cylinder four stroke water-cooled 250cc,12.6,Not Specified,international 6-speed,standard,xx(mm),206x80x1140,780.0,173.0,15.0,145.0,Not specified,Not specified,"black, white, blue",True,False,False,False,False
五羊 凯旋,5580,Wuyang,Bending beam,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke air-cooled 110cc,7.1,5.2/7500,cycle 4th gear,none,xx(mm),1910x690x1130,800.0,95.0,3.2,80.0,1.4,Not specified,"rose gold/champagne, black, red, blue",False,False,False,False,False
五羊 喜羊羊,5980,Wuyang,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.1,5.2/7500,cycle 4-speed,Not specified,Not specified,1780x650x1020,700.0,80.0,3.2,95.0,1.8,Not specified,Not Specified,False,False,False,False,True
五羊 WY125T-8D,6480,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke air-cooled 125cc,6.8,5/7000,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1800x670x1050,740.0,95.0,0.0,80.0,2.5,Not specified,"Wuyang White/Bright Black, Magic Red/Bright Black, Universe Grey/Bright Black, Matte Blue/Bright Black",False,False,False,False,False
五羊 凯航,6680,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke air-cooled 110cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1920x685x1105,740.0,99.0,6.0,80.0,2.5,230,"Starry Sky Grey, Cement Grey, Matte Black, Five Sheep White, Matte Blue",False,False,False,False,False
五羊 凯行,6880,Wuyang,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,Not specified,xx(mm),1815x690x1120,760.0,99.0,6.4,80.0,2.5,230,"Starry Sky Grey, Cement Grey, Matte Black, Five Sheep White, Matte Blue",False,False,False,False,False
五羊 URV,7280,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke air-cooled 110cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1915x695x1120,750.0,97.0,6.0,80.0,2.5,Not specified,Not Specified,False,False,False,False,False
五羊 WY125T-10D,7480,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke air-cooled 125cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1830x680x1120,760.0,103.0,8.0,80.0,2.5,Not specified,"Ferrari Red/White, Pearl Black/White, Universe Grey/Black, Avocado Green/Black, Matte Black/Black, Ivory White/Black",False,False,False,False,False
五羊 DILA,7880,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke air-cooled 125cc,6.8,5/7000,CVT continuously variable transmission automatic transmission,standard,Not specified,1860x735x1210,760.0,109.0,0.0,80.0,2.5,Not specified,white orange,False,False,False,False,False
五羊 UVR,7980,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke air-cooled 125cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,Not specified,xx(mm),1915x695x1120,750.0,97.0,6.0,80.0,2.5,Not specified,"Metal Blue/Black, Five Sheep White/Black, Universe Grey/Black, Metal Black/Bright Black, Matte Silver/Black",False,False,False,False,False
五羊 欧歌,13960,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke water-cooled 150cc,12.9,9.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,2000x718x1125,740.0,139.0,14.0,100.0,Not specified,Not specified,"Coke Red, Ice and Snow White, Ivory White, Magic Black, Lamu Blue, Mint Green",False,False,False,False,False
五羊 WY150T-2D,13980,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke water-cooled 150cc,12.9,9.5/8500,CVT continuously variable transmission automatic transmission,standard,xx(mm),1980x725x1120,765.0,131.0,8.2,100.0,2.5,300,"Pearl Blue, Starry Sky Grey, Pearl White, Dark Red, Universe Black",False,False,False,False,False
五羊 星锐,14990,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke water-cooled 150cc,12.9,9.5/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,2062x760x1260,765.0,138.0,9.3,100.0,2.5,330,"Swan Grey, Starry Sky White, Milk White, Azure Cloud Grey, Macaron Green",False,False,False,False,False
五羊 星途升级版,Currently no quotation available,Wuyang,Pedal,domestic,Guangzhou Wuyang Motorcycle Co,single cylinder four stroke water-cooled 150cc,12.9,9.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1980x725x1120,760.0,131.0,0.0,100.0,2.5,Not specified,"Universe Grey, Interstellar Grey, Five Sheep White, Five Sheep Orchid",False,False,False,False,False
台铃 周末,4699,Taiwan,Pedal,domestic,Chinese manufacturer,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1740x680x1060,720.0,93.0,9.0,51.0,Not Specified,Not specified,"Polar White/Hepburn Blue, Yin Green/Mousse White, Mousse White/Tango Yellow",True,False,False,True,False
台铃 赤兔,4999,Taiwan,Pedal,domestic,Taiwan Bell Technology (Jiangsu) Co,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1710x730x1155,740.0,103.0,9.0,51.0,Not Specified,100,"Romantic Mica, Zero degree Black, Romantic Grey",True,False,False,True,False
台铃 雷豹KS,4999,Taiwan,Pedal,domestic,Taiwan Bell Technology (Jiangsu) Co,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1850x730x1100,730.0,108.0,9.0,51.0,Not Specified,100,"Alloy Silver, Polar White, Armor Green, Earl Grey, Zero Black",True,False,False,True,False
台铃 塞北,5999,Taiwan,Pedal,domestic,Taiwan Bell Technology (Jiangsu) Co,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1760x725x1130,730.0,128.0,9.0,70.0,Not Specified,100,"Universe Grey, Time Silver, Elegant Brown, Starry White, Ultimate Silver",True,False,False,True,False
台铃 超跑F1,14999,Taiwan,Pedal,domestic,Chinese manufacturer,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1940x722x1110,770.0,130.0,9.0,51.0,Not Specified,Not specified,Not Specified,True,True,True,True,False
台铃 非凡宗师,Currently no quotation available,ringtone,Pedal,domestic,Chinese manufacturer,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1985x730x1220,780.0,138.0,9.0,51.0,Not Specified,100,Not Specified,True,False,False,True,False
台铃 开心,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1540x698x1037,770.0,130.0,9.0,95.0,Not Specified,100,Not Specified,False,True,True,True,True
台铃 EVS,17199,Taiwan,Street car,domestic production,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,2000x802x1085,770.0,128.0,9.0,51.0,Not Specified,100,Silver Black,True,True,False,True,False
台铃 Lion,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,True,True,True,True
台铃 凯拉,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,none,Not specified,Not Specified,770.0,130.0,9.0,95.0,Not Specified,150,Not Specified,True,True,True,True,True
台铃 星耀-G,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,True,True,True,True
台铃 可酷,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,none,Not specified,Not Specified,750.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,False,True,True,True
台铃 Y3,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,True,True,True,True
台铃 N8,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,none,xx(mm),1740x710x1050,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,True,True,True,True
台铃 豹子,Currently no quotation available,ringtone,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,none,xx(mm),1830x725x1080,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,True,True,True,True
台铃 S2,Currently no quotation available,ringtone,Pedal,domestic,Chinese manufacturer,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1860x765x1150,770.0,141.0,9.0,51.0,Not Specified,Not specified,Not Specified,True,True,False,True,False
新世纪 火牙200,9800,New,Sports car,domestic production,Not Specified,single cylinder four stroke air-cooled 200cc,15.0,11/7800,international 6-speed,Not specified,Not specified,2050x715x1170,760.0,143.0,18.0,110.0,Not specified,Not specified,"Black/Red, White/Blue, Red",False,False,False,False,False
新世纪 火牙400,18800,New,Sports car,domestic production,Jiangsu New Century Locomotive Technology Co,inline dual cylinder four stroke water-cooled 400cc,31.3,23/8500,international 6-speed,standard,Not specified,2050x715x1170,760.0,164.0,18.0,110.0,Not specified,Not specified,"black red, black, red, white blue",False,False,False,False,False
新世纪 剑影400,19480,New,Sports car,domestic production,Jiangsu New Century Locomotive Technology Co,inline dual cylinder four stroke water-cooled 400cc,31.3,23/8500,international 6-speed,standard,Not specified,2060x780x1140,760.0,170.0,19.0,110.0,Not specified,Not specified,"Sword Shadow Matte Black Red, Sword Shadow Matte Black Gold, Sword Shadow Black Green, Sword Shadow White Red",False,False,False,False,False
