Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
宗申 Z-One ZS125-48A,7724,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,12.2,9/8000,,-,-,-,2040x755x1045,760,,18,,-,,-,,
宗申 Zone,8335,Zongshen,", street car,",,,single cylinder  125cc,10.61,7.8/8500,,-,-,-,2040,760,,18,,-,,-,,
宗申 Z2,9280,Zongshen,", street car,",,,single cylinder four stroke air-cooled  149cc,10.6,7.8/7000,,-,,-,2070x755x1060,,130,18,,-,,-,,
宗申 越影ZS150-38C,9680,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,10.88,8/7000,,international 5-speed,none,-,2050,,,16,,-,,-,,
宗申 ZS200GS,10800,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,14.68,10.8/7500,,-,-,-,2008,,,15,90,-,,-,,
宗申 战豹ZS150-38C,11060,Zongshen,", street car,",,,single cylinder  200cc,13.6,10/,,-,-,-,2010x760x1080,,170,0,,-,,-,,
宗申 闪电250,12800,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,15.6,11.5/7500,,-,,-,2130x820x1200,810,140,18,120,-,,-,,
宗申 ZS250GS,19800,Zongshen,", sports car,",,,single cylinder four stroke water-cooled  250cc,25.83,19/9000,,six speed,none,-,1990,780,150,10.5,130,3.4,,-,,
宗申 新炫风,19800,Zongshen,", sports car,",,,251cc,17.68,13/,,-,None,-,2015,,166,0,120,-,,-,,
宗申 新炫力,6508,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/8500,,-,-,-,2040x780x1120,765,128,17,95,-,,-,,
宗申 尊龙太子ZS150-8,Currently no quotation available,Zongshen,", street car,",,,single cylinder four stroke air-cooled  149cc,11.3,8.3/8000,,-,-,-,,,165,16,,-,,-,,
宗申 天越ZS150-73,7280,Zongshen,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  150cc,11.3,8.3/8000,,-,-,-,1985x790x1130,,121,10,95,2,,-,,
宗申 新创业,6536,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.8,8.7/8000,,-,-,-,1960x755x1120,,130,13,95,-,,-,,
宗申 Z0 迈行,Currently no quotation available,Zongshen,", street car,",,,single cylinder four stroke air-cooled  149cc,11.3,8.3/8000,,-,-,-,2020x780x1050,,130,12,,-,,-,,
宗申 ZS125T-12,Currently no quotation available,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.3,8.3/8000,,international 5-speed,-,-,1990x800x1090,765,124,15,95,-,,-,,
宗申 ZS125T-4A,4580,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,1790x690x1070,,113,0,,-,,-,,
宗申 迅驰,4680,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,1865,,113,0,,-,,-,,
宗申 迅驰ZS125T-4S,5311,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,7.21,5.3/7500,,-,-,-,1840X670X1130,,106,4.7,80,-,,-,,
宗申 ZS125T-2,5311,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,,,,0,,-,,-,,
宗申 迪欧ZS125T-12S,5380,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,1790x680x1090,,124,0,,-,,-,,
宗申 锐 ZT3,5391,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,,,,0,,-,,-,,
宗申 比萨假日ZS125T-12S iii,5980,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,-,-,-,1785x635x1115,720,105,6,87,-,,-,,
宗申 潮 ZT3F,6280,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,7.5,5.5/,,-,-,-,,,99,4,80,3,,-,,
宗申 西西里假日ZS125T-4S ii,6280,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,-,-,-,1785x635x1115,620,,6,87,-,,-,,
宗申 威尼斯假日ZS125T-2A ii,6380,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,,,,0,,-,,-,,
宗申 罗马假日ZS125T-80B,6880,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,8.2,6/,,-,-,-,1790x690x1070,700,,0,102,2,,-,,
宗申 星迪,9030,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,9.8,7.2/,,-,-,-,2005x690x1140,,135,0,85,2,,-,,
宗申 巧虎,Currently no quotation available,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,8.8,6.5/7500,,CVT continuously variable transmission automatic transmission,-,-,1800x670x1130,,95,0,,2.2,,-,,
宗申 雅致,Currently no quotation available,Zongshen,pedal,,,single cylinder four stroke air-cooled  124cc,8.6,6.3/7500,,CVT continuously variable transmission automatic transmission,-,-,1820x675x1062,,91,0,,-,,-,,
宗申 优迪,Currently no quotation available,Zongshen,pedal,,,,,5.3/7500,,-,-,-,1870x690x1090,,,0,,-,,-,,
宗申 星驰125ST,Currently no quotation available,Zongshen,pedal,,,air-cooled  125cc,7.2,5.3/7500,,CVT continuously variable transmission automatic transmission,-,-,1840x660x1130,,,0,,-,,-,,
宗申 追求ZS125-50S,Currently no quotation available,Zongshen,pedal,,Chongqing Zongshen Locomotive Industry Manufacturing Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/7500,,CVT continuously variable transmission automatic transmission,-,-,2040x680x1130,735,113,7,85,-,,-,,"gray, white, blue, black"
宗申 RA1,7465,Zongshen,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  125cc,9.8,7.2/,,-,,-,2176x897x1100,700,125,13,90,2,,-,,
宗申 新追求,11980,Zongshen,", street car,",,,single cylinder four stroke  150cc,11.3,8.3/7000,,-,None,-,2100x875x1165,,,13.5,90,2.5,,-,,"matte gray, laser new blue, flat gold"
宗申 ZS50Q-13,Currently no quotation available,Zongshen,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  150cc,11.3,8.3/8000,,-,-,-,2150x735x1150,,140,0,90,-,,-,,
宗申 V炫ZS110-53 超值型,4380,Zongshen,bending beam,,,single cylinder four stroke air-cooled  50cc,2.9,2.1/,,-,-,-,1910x690x1060,,85,0,,-,,-,,
宗申 ZS110-26S,4980,Zongshen,bending beam,,,single cylinder four stroke air-cooled  110cc,6.4,4.7/8000,,-,-,-,1950x680x1100,760,,0,,-,,-,,
宗申 神韵,5180,Zongshen,bending beam,,,single cylinder four stroke air-cooled  110cc,6.7,4.9/8000,,-,-,-,1910x685x1100,,90,4,80,2,,-,,
宗申 尚喜ZS110-9S,Currently no quotation available,Zongshen,bending beam,,,single cylinder four stroke air-cooled  106cc,6.8,5/8000,,-,-,-,1890x690x1110,,96,3.5,,-,,-,,
宗申 进取ZS110-60S,5280,Zongshen,bending beam,,,single cylinder four stroke air-cooled  110cc,,,,-,-,-,1870x690x1070,,,3.5,80,-,,-,,
宗申 V5 Fi,5380,Zongshen,bending beam,,,single cylinder four stroke air-cooled  110cc,6.7,4.9/8000,,-,-,-,1925x670x1080,,90,4,80,2,,-,,
基,6280,Zongshen,bending beam,,,single cylinder four stroke air-cooled  110cc,8.4,6.2/7500,,-,-,-,1895x710x1120,765,100,4,85,-,,-,,
宗申 ZS150GY,Currently no quotation available,Zongshen,bending beam,,,single cylinder four stroke air-cooled  110cc,11.3,8.3/8000,,cycle 4-speed,,-,1890x660x1110,,96,3.5,95,-,,-,,
宗申 飞尚,5796,Zongshen,Off road,Domestic,,single cylinder four stroke air-cooled  150cc,11.56,8.5/,,-,None,-,2180,,112,0,,-,,-,,
宗申 飞越ZS125GY-10S,8980,Zongshen,", street car,",,,single cylinder four stroke air-cooled  149cc,11.83,8.7/8000,,5,-,-,2110,830,125,14,90,-,,-,,
宗申 飞越ZS150GY-10,10000,Zongshen,Off road,Domestic,,single cylinder water-cooled  125cc,12.9,9.5/8500,,-,-,-,2155x804x1194,,127,0,95,-,,-,,
宗申 ZS200GY,10800,Zongshen,Off road,Domestic,,single cylinder four stroke air-cooled  150cc,9.8,7.2/8500,,-,-,-,2130x850x1210,,125,8,95,3,,-,,
宗申 锐酷ZS125GY-5,10800,Zongshen,Off road,Domestic,,single cylinder four stroke air-cooled  200cc,15.0,11/7500,,-,-,-,2180x810x1200,,135,0,90,-,,-,,
宗申 新锐锋,6811,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,-,-,-,1785x740x1015,,99,10,85,-,,-,,
钱江 小飓风150i,Currently no quotation available,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.3,8.3/8000,,-,,-,2030x760x1130,,130,13.5,95,-,,-,,
钱江 风暴太子150,10800,Qianjiang,", sports car,",,,single cylinder four stroke water-cooled  149cc,13.3,9.8/9000,,-,None,-,2050x740x1110,,153,15,99,-,,-,,
钱江 凯威极光 200,10800,Qianjiang,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder oil cooled  150cc,11.1,8.2/8500,,reciprocating 5-speed,,-,2220x830x1140,,,0,95,-,,-,,"jujube red, pearl black"
钱江 凯威荣光 202,11800,Qianjiang,Cruising Crown Prince,Domestic,,single cylinder four stroke oil cooled  200cc,12.9,9.5/7500,,international 5-speed,none,-,2220x840x1110,740,161,15,110,-,,-,,"brown, green, black, red"
钱江 荣耀250,12800,Qianjiang,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke oil cooled  200cc,12.9,9.5/7500,,-,None,-,2120x800x1060,715,156,11.8,100,-,,-,,"Red, Blue, Black"
钱江 凯威拾光 T-Light 250,15800,Qianjiang,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  250cc,27.9,20.5/9500,,international 6-speed,standard,without,2120x800x1060,715,150,11.8,,-,,-,,"Cool Orange, Graphite Black, Satisfied White"
钱江 巡航者QJ250-J,16800,Qianjiang,Cruising Crown Prince,Domestic,,inline dual cylinder four stroke oil cooled  250cc,17.7,13/8000,,international 5-speed,none,-,2200x860x1150,,166,0,114,-,,-,,"black, red"
钱江 跨悦QJ125T-9E,17911,Qianjiang,", street car,",,,"dual cylinder four stroke air-cooled, 250cc",17.95,13.2/8000,,-,None,-,2300,680,125,14,100,2.9,,-,,
钱江 V悦QJ110T-11B,5016,Qianjiang,pedal,,,single cylinder four stroke air-cooled  125cc,8.6,6.3/7500,,-,,-,1840x690x1110,,113,8,85,-,,-,,
钱江 翎悦QJ125T-16E,6380,Qianjiang,pedal,,,single cylinder four stroke air-cooled  108cc,7.1,5.2/7000,,-,None,-,1750x675x1085,,109,5,91,-,,-,,
钱江 朗悦125,6500,Qianjiang,pedal,,,single cylinder four stroke air-cooled  125cc,8.6,6.3/7500,,-,-,-,1820x660x1100,,110,0,80,-,,-,,
钱江 TAN125,6680,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,8.6,6.3/7500,,CVT continuously variable transmission automatic transmission,,-,1830x680x1100,740,110,0,,-,,-,,"Piano Black/Interstellar Grey, Matte Silver Grey/Starry Night Black, Interstellar Grey/Starry Night Black"
钱江 优悦125,6980,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.4,6.9/7000,,CVT continuously variable transmission automatic transmission,none,without,,,113,6,,-,,-,,"dark gray, silver gray, black"
钱江 TAN125+,6980,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,CVT continuously variable transmission automatic transmission,,-,1990x690x1110,,113,0,90,-,,-,,
钱江 宝悦110T-8B,8480,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.4,6.9/7000,,CVT continuously variable transmission automatic transmission,standard,-,2010x685x1120,755,115,6,90,-,,-,,"Day Night Black, Interstellar Grey/Starry Night Black, Space Silver/Starry Night Black"
钱江 寻125,7500,Qianjiang,pedal,,,single cylinder four stroke air-cooled  108cc,7.1,5.2/7000,,-,None,-,1830x700x1110,,103,6,91,-,,-,,
钱江 提诺Tino,7680,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.4,6.9/7000,,CVT continuously variable transmission automatic transmission,,-,2000x690x1130,755,118,0,95,-,,-,,"Starry Night Black/Day Night Black, Matte Silver Grey/Day Night Black, Interstellar Grey/Day Night Black, Fritillaria White/Day Night Black"
钱江 劲150,8980,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.4,6.9/7000,,CVT continuously variable transmission automatic transmission,standard,-,1995x700x1095,770,108,8.6,90,2.2,,-,,"Ivory White/Day Night Black, Vision White Blue/Ivory White/Fine Silver White/Silver White, Silver"
钱江 城市风QJ125T-23,9480,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  150cc,12.2,9/7500,,CVT continuously variable transmission automatic transmission,standard,-,2010x685x1145,755,115,6,99,-,,-,,"Mechanical Silver/Ink Blue, Ivory White/Ink Blue, Interstellar Grey/Matte Black, Day Night Black/Lava Grey"
钱江 菲诺125,8675,Qianjiang,pedal,,,single cylinder four stroke air-cooled  150cc,10.2,7.5/7000,,-,None,-,1950x755x1130,,128,7,95,-,,-,,
钱江 MT 150,8280,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,-,1820x690x1090,755,107,7.4,80,-,,-,,"beige, blue and white"
钱江 迪诺,12800,Qianjiang,pedal,,,single cylinder four stroke water-cooled  150cc,13.5,9.9/8500,,CVT continuously variable transmission automatic transmission,none,standard,1990x720x1140,800,130,7,,-,,-,,"Fresh Yellow, Ferrari Red, Soul Orange, Taff White"
钱江 BG 200,13980,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,16.6,12.2/8500,,CVT continuously variable transmission automatic transmission,standard,-,1985x725x1210,770,128,10,108,-,,-,,"Beimu White/Matcha Green, Tiffany Blue/Vision Orange, Vision White Blue/Arctic Fox White, Asian Gold Black, Lava Grey/Piano Black, Lava Grey/Piano Black (red cushion)"
钱江 宝悦QJ110T-8,16800,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  200cc,18.6,13.7/8250,,CVT continuously variable transmission automatic transmission,standard,without,1990x745x1135,800,150,7,,-,,-,,
钱江 梦悦QJ125T-27C,5969,Qianjiang,pedal,,,single cylinder four stroke air-cooled  110cc,7.1,5.2/7000,,-,-,-,1830x700x1110,,103,0,83,-,,-,,
钱江 酷悦QJ100T-18D,6343,Qianjiang,pedal,,,single cylinder four stroke air-cooled  125cc,8.6,6.3/7500,,-,,-,1840x690x1150,,108,0,86,2,,-,,
钱江 U悦QJ125T-17A,5098,Qianjiang,pedal,,,single cylinder four stroke air-cooled  100cc,3.8,2.8/8500,,-,None,-,1700x670x1060,,95,0,48,2,,-,,
钱江 SIP-125,5680,Qianjiang,pedal,,,"air-cooled, 125cc",8.6,6.3/,,-,-,-,1820,,,5.3,85,-,,-,,
钱江 巧悦 110,Currently no quotation available,Qianjiang,pedal,,,single cylinder four stroke air-cooled  125cc,8.2,6/,,-,,-,,,,0,,-,,-,,
钱江 添悦125,5980,Qianjiang,pedal,,,single cylinder four stroke air-cooled  110cc,7.1,5.2/7000,,CVT continuously variable transmission automatic transmission,none,without,1810x700x1060,,103,5.5,85,-,,-,,"dark blue, gray, white, red"
钱江 御龙QJ150-26G,Currently no quotation available,Qianjiang,pedal,,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,CVT continuously variable transmission automatic transmission,-,-,2020x690x1130,,109,0,85,-,,-,,"red, black, gray, silver"
钱江 御龙QJ125-26,,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,10.2,7.5/8500,,2,-,-,2040,750,127,0,100,2,,-,,
钱江 御龙QJ150-26A,6686,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  124cc,10.2,7.5/8500,,-,-,-,2040,750,127,16,100,-,,-,,
钱江 御龙QJ150-26,6820,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.8,8.7/8000,,-,-,-,2040x780x1050,750,127,0,100,-,,-,,
钱江 威龙150,6820,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.8,8.7/8000,,-,-,-,2040x780x1050,750,127,0,100,-,,-,,
钱江 卧龙150,6980,Qianjiang,", street car,",,Zhejiang Qianjiang Motorcycle Co.,single cylinder air-cooled  150cc,11.1,8.2/8500,,reciprocating 5-speed,-,-,2050x770x1070,,133,0,95,-,,-,,"Pearl Black, Universe Blue, Transparent Red"
钱江 飞虎太子150,7680,Qianjiang,", street car,",,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,reciprocating 5-speed,-,-,2080x770x1060,,142,0,95,-,,-,,"Transparent Red, Century Blue, Pearl Black, TNT2 # Green"
钱江 蓝宝龙QJ150-17A,7980,Qianjiang,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,air-cooled  150cc,11.1,8.2/8500,,reciprocating 5-speed,,-,2120x810x1090,750,123,0,,-,,-,,"Leopard Black, Eagle Red"
钱江 飞龙150,8532,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.83,8.7/8000,,-,None,-,2040,,145,16,110,-,,-,,
钱江 猛龙QJ150-26H,8680,Qianjiang,", street car,",,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,reciprocating 5-speed,,-,2040x760x1100,,146,0,99,-,,-,,"graphite black, TNT2 # red, crystal blue"
钱江 御龙QJ150-26J,8800,Qianjiang,", street car,",,,four stroke air-cooled  148cc,13.1,9.6/8000,,-,None,-,2040x770x1110,,147,16,,-,,500,,
钱江 金龙,8800,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,13.1,9.6/8000,,-,None,-,2040x790x1070,,131,16,100,-,,-,,
钱江 新钱江龙QJ150-19M,9680,Qianjiang,", street car,",,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  150cc,12.6,9.3/8500,,international 5-speed,-,-,2055x765x1080,780,135,15,99,-,,-,,"gray, black, blue, red"
钱江 风格QJ110-11C a1-1,8900,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,-,-,-,2080x795x1080,770,145,17,,-,,-,,
钱江 风采QJ110-10C,3800,Qianjiang,bending beam,,,single cylinder four stroke air-cooled  110cc,7.5,5.5/7500,,-,-,-,1940x705x1105,,110,3.8,88,-,,-,,
钱江 QJ110-18G,3825,Qianjiang,bending beam,,,single cylinder four stroke air-cooled  110cc,7.5,5.5/7500,,-,,-,1900x685x1120,,98,0,85,-,,-,,
钱江 骁900,4660,Qianjiang,bending beam,,,single cylinder four stroke air-cooled  109cc,6.53,4.8/,,-,None,-,2000x700x1110,,105,0,75,-,,-,,
钱江 王中王QJ125-6A,42800,Qianjiang,tension,,,900cc,104.7,77/9000,,-,-,-,,,,0,,-,,-,,"Starry Night Black, Silver Grey"
钱江 前进QJ100-6B,4980,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,10.2,7.5/8500,,-,-,-,2040x760x1100,,125,0,100,-,,-,,
钱江 金钢QJ125-18A,5180,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  100cc,7.5,5.5/7500,,-,-,-,1940x760x1050,730,120,0,85,-,,-,,
钱江 祥龙QJ125-27,5680,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,10.2,7.5/8500,,-,-,-,2100x790x1080,,132,0,100,-,,-,,
钱江 金太子QJ125-6C,5680,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,10.2,7.5/8500,,-,-,-,2070x760x1070,,125,0,95,-,,-,,
钱江 禧王QJ125-6A,5843,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,11.15,8.2/9000,,-,-,-,1990,,120,0,85,-,,-,,
钱江 禧王QJ150-18 山地版,,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,10.2,7.5/8500,,-,-,-,2040x760x1100,,125,0,85,-,,-,,
钱江 金禧王QJ125-6N,6100,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,-,-,-,2040x770x1070,,125,0,100,-,,-,,
钱江 五羊QJ125-6B,6250,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,10.2,7.5/8500,,-,-,-,2080x730x1145,,127,0,80,-,,-,,
钱江 祥龙QJ150-27,6300,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,10.2,7.5/8500,,-,-,-,2030x770x1070,,125,0,110,-,,-,,
钱江 新金钢QJ150-23,6380,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,-,-,-,2070x760x1070,,125,0,100,-,,-,,
钱江 畅跑QJ150-11B,6500,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,-,-,-,2090x770x1085,,130,0,100,-,,-,,
钱江 金福王QJ125-6M,6533,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,-,-,-,2040x750x1110,,128,0,100,-,,-,,
钱江 金钢QJ150-16,6650,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  125cc,11.1,8.2/9000,,-,-,-,2080x740x1120,,125,0,80,-,,-,,
钱江 超金钢QJ125-25,6682,Qianjiang,", street car,",,,single cylinder four stroke air-cooled  150cc,11.1,8.2/8500,,-,-,-,2100x790x1080,,132,0,100,-,,-,,
