Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
QJMOTOR 闪500S,29999,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  500cc,48.9,36/8500,,international 6-speed,standard,xx(mm),2230x865x1130,720,198,16,160,-,,-,,"Diamond Blue, Orange, Matte Black, Extra Black, Yellow"
QJMOTOR 闪300+,31999,QJMOTOR,Three Wheel,Domestic,Zhejiang Qianjiang Motorcycle Co.,V-type twin cylinder four stroke water-cooled  300cc,30.7,22.6/9000,,forward 6-speed+1-speed reverse,-,-,2110x1660x1100,,265,0,85,-,,-,,"Orange, Black, Milk Tea"
QJMOTOR 闪350+,33980,QJMOTOR,Three Wheel,Domestic,Zhejiang Qianjiang Motorcycle Co.,V-type twin cylinder four stroke water-cooled  350cc,32.6,24/8500,,forward 6-speed+1-speed reverse,-,-,2255x1645x1105,730,278,16,88,-,,-,,
QJMOTOR 闪600,35999,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,V-type four cylinder four stroke water-cooled  560cc,68.0,50/10500,,international 6-speed,standard,-,2280x820x1115,720,221,16,178,-,,-,,
QJMOTOR 闪500+,38999,QJMOTOR,Three Wheel,Domestic,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  550cc,61.2,45/8500,,international 6-speed,-,-,2285x1670x1150,770,308,16,108,-,,-,,"Cool Orange, Space Silver"
QJMOTOR 闪700,Currently no quotation available,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  700cc,76.1,56/8750,,international 6-speed,standard,-,2230x830x1160,750,208,0,190,-,,-,,
QJMOTOR 闪550,Currently no quotation available,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  550cc,61.2,45/,,international 6-speed,-,-,2230x865x1130,,198,0,,-,,-,,
QJMOTOR QJ400-12K,Currently no quotation available,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,V-type twin cylinder four stroke water-cooled  400cc,35.4,26/,,international 6-speed,standard,-,2220x830x1100,,173,0,152,-,,-,,
QJMOTOR 鸿125,7999,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.4,6.9/7000,,CVT continuously variable transmission automatic transmission,-,-,1895x685x1090,750,110,6,90,1.7,,-,,matte silver gray
QJMOTOR 鸿150ADV,13999,QJMOTOR,pedal,domestic,,single cylinder four stroke water-cooled  150cc,,,,-,-,-,,,,0,,-,,-,,
QJMOTOR 鸿150,13999,QJMOTOR,pedal,domestic,,single cylinder four stroke water-cooled  150cc,,,,-,-,-,,,,0,,-,,-,,
QJMOTOR 鸿250,16999,QJMOTOR,pedal,domestic,,single cylinder four stroke water-cooled  250cc,,,,CVT continuously variable transmission automatic transmission,standard,-,,,,0,,-,,-,,
QJMOTOR 鸿350,29999,QJMOTOR,pedal,domestic,,single cylinder four stroke water-cooled  350cc,34.3,25.2/7500,,CVT continuously variable transmission automatic transmission,standard,-,,,,14,,-,,-,,
QJMOTOR QJ350T-5,Currently no quotation available,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  330cc,29.9,22/,,CVT continuously variable transmission automatic transmission,standard,-,2190x750x1395,,186,0,137,-,,-,,
QJMOTOR QJ250T-23E,Currently no quotation available,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  250cc,25.8,19/,,CVT continuously variable transmission automatic transmission,standard,-,1990x770x1210,,158,0,129,-,,-,,
QJMOTOR QJ250T-23H,Currently no quotation available,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  250cc,25.8,19/,,CVT continuously variable transmission automatic transmission,standard,-,1945x770x1230,,158,0,129,-,,-,,
QJMOTOR 阳光壹米,8999,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.4,6.9/7000,,CVT continuously variable transmission automatic transmission,standard,-,1900x710x1100,760,110,6,90,1.7,,-,,
QJMOTOR 阳光迪诺,12980,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,16.6,12.2/8500,,CVT continuously variable transmission automatic transmission,standard,-,1900x710x1160,770,118,8,110,-,,-,,"ivory white, gemstone black, mechanical silver"
QJMOTOR 迪诺,13980,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,16.6,12.2/8500,,CVT continuously variable transmission automatic transmission,standard,-,1985x725x1210,770,128,10,108,-,,-,,"Beimu White/Matcha Green, Vision White Blue/Extreme Fox White, Asian Gold Black, Lava Grey/Piano Black, Tiffany Blue/Extreme Fox White, Silver Red, Lava Grey/Piano Black (red cushion), Ivory White"
QJMOTOR 壹米150,13999,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,1900x710x1100,760,110,6,114,-,,-,,"Koi Red, Clear Summer Blue"
QJMOTOR 菲诺125,8999,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,8.6,6.3/7500,,CVT continuously variable transmission automatic transmission,none,-,1820x690x1090,755,107,4.6,80,-,,-,,"Metal light blue, Exquisite red, Gemstone black, Satisfied white, Cherry blossom powder"
QJMOTOR QJ125T-27L,Currently no quotation available,QJMOTOR,pedal,domestic,,single cylinder four stroke air-cooled  125cc,,,,CVT continuously variable transmission automatic transmission,-,-,,,,0,,-,,-,,silver red
QJMOTOR 追150,12999,QJMOTOR,street car,domestic production,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,17.0,12.5/9250,,international 6-speed,standard,-,1930x785x1050,750,136,10,99,-,,-,,"Taff White, Sparkling Black, Moranti Grey"
QJMOTOR 追350,26999,QJMOTOR,street car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  350cc,36.7,27/9000,,international 6-speed,standard,xx(mm),2080x820x1100,800,176,13.5,145,-,,-,,
QJMOTOR 追550,26999,QJMOTOR,street car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  550cc,61.2,45/8500,,international 6-speed,standard,-,2090x865x1165,810,180,15,192,-,,-,,"Starry Night Black/Turquoise Blue/Taff White, Starry Night Black, Lava Grey/Starry Night Black, Vitality Red/Space Silver"
QJMOTOR 追600,36999,QJMOTOR,street car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline four cylinder four stroke water-cooled  600cc,81.6,60/11000,,international 6-speed,standard,xx(mm),2140x790x1080,800,,15,,-,,-,,"silver, red, matte silver gray"
QJMOTOR 追700,39999,QJMOTOR,street car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  700cc,76.1,56/8750,,international 6-speed,standard,xx(mm),2070x765x1130,785,192,15,190,-,,-,,
QJMOTOR 追400,Currently no quotation available,QJMOTOR,street car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  400cc,44.9,33/,,-,-,-,2080x820x1085,,176,0,158,-,,-,,
QJMOTOR 追125,Currently no quotation available,QJMOTOR,MINI,Domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke oil cooled  125cc,11.6,8.5/,,-,-,-,1770x755x1010,,114,0,99,-,,-,,
QJMOTOR 追900,Currently no quotation available,QJMOTOR,street car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  900cc,104.7,77/,,international 6-speed,standard,-,2100x840x1170,,216,0,225,-,,-,,
QJMOTOR 骁600,33999,QJMOTOR,tension,domestically produced,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  560cc,61.2,45/8500,,international 6-speed,standard,-,22100x0x1380,820,198,20.5,172,-,,-,,"Space Silver, Turquoise Blue, Day Night Black"
QJMOTOR 骁700S,40999,QJMOTOR,tension,domestically produced,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  700cc,76.1,56/8750,,international 6-speed,standard,-,2330x940x1395,825,238,19.5,190,-,,-,,"Space Silver, Day Night Black"
QJMOTOR 骁500,46719,QJMOTOR,tension,domestically produced,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  500cc,48.9,36/8500,,international 6-speed,standard,-,2270x925x1398,825,243,19.5,,-,,-,,"High Cool White, Ferrari Red, Fresh Yellow, Blue"
QJMOTOR 骁650,45999,QJMOTOR,tension,domestically produced,Zhejiang Qianjiang Motorcycle Co.,V-type twin cylinder four stroke water-cooled  650cc,76.1,56/9000,,international 6-speed,standard,-,2270x950x1380,800,219,20,185,-,,-,,"Fresh Yellow, Radiant Gold, Silver Red"
QJMOTOR 骁750,57719,QJMOTOR,tension,domestically produced,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  750cc,81.6,60/9000,,international 6-speed,standard,-,2340x950x1390,825,256,18.5,200,-,,-,,"gray, green, blue, red"
QJMOTOR 骁800,53999,QJMOTOR,tension,domestically produced,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  800cc,96.5,71/9000,,international 6-speed,standard,-,2260x950x1395,835,247,24,210,-,,-,,"Black, Blue, Silver Red"
QJMOTOR 骁800+,52980,QJMOTOR,Three Wheel,Domestic,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  800cc,96.5,71/9000,,international 6-speed,-,-,2420x1735x1395,835,385,24,112,-,,-,,
QJMOTOR 骁600 Tour,56999,QJMOTOR,,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline four cylinder four stroke water-cooled  600cc,81.6,60/11000,,international 6-speed,standard,xx(mm),2340x880x1395,805,233,27,190,-,,-,,"Forest Green, Soul Red, Elegant Silver Grey, Night Sky Silver Grey"
QJMOTOR 逸250,15999,QJMOTOR,Retro,Domestic,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke oil cooled  250cc,17.7,13/8000,,international 5-speed,standard,xx(mm),2070x810x1100,780,163,14,114,-,,-,,"jujube red, blue, black, green, silver"
QJMOTOR 逸500,23999,QJMOTOR,Retro,Domestic,,single cylinder four stroke air-cooled  500cc,27.2,20/5000,,international 5-speed,standard,-,2170x820x1120,800,198,15.5,,-,,-,,
QJMOTOR 逸550,Currently no quotation available,QJMOTOR,Retro,Domestic,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  550cc,61.2,45/,,international 6-speed,-,-,2100x900x1170,,198,0,175,-,,-,,
QJMOTOR OAO,Currently no quotation available,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,,,,,,standard,-,2035x760x1090,,165,,120,,,-,,
QJMOTOR OMO 03,26999,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,,13.6,10/8600,,,standard,-,1975x770x1160,780,142,,99,,,125,,
QJMOTOR OMO 07,45999,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,,,,,,standard,-,2220x780x1390,780,226,,129,,,115,,
QJMOTOR 大熊150,13999,QJMOTOR,pedal,domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,xx(mm),1970x750x1100,765,125,7,99,-,,-,,"matte deep blue, graphite black, DBS white, gemstone red"
QJMOTOR ATV1000,69999,QJMOTOR,,,,V-type twin cylinder four stroke water-cooled  1000cc,92.5,68/7300,,CVT continuously variable transmission automatic transmission,-,-,2260x1220x1350,875,445,25,,-,,-,,"Yuanqi Red, Gem Black BW, Interstellar Grey, Jungle Camouflage"
QJMOTOR QJ 1200-3,Currently no quotation available,QJMOTOR,,domestic production,,inline three cylinder four stroke water-cooled  1200cc,136.0,100/,,-,standard,-,2400x990x1620,,338,0,220,-,,-,,
春风 250SR,15980,Spring,sports car,domestic production,Zhejiang Chunfeng Power Co.,single cylinder four stroke water-cooled  250cc,27.9,20.5/9750,,international 6-speed,standard,-,2010x750x1080,765,165,12,,-,,-,,"Starlight Black, Starlight White"
春风 450SR,32580,Spring,sports car,domestic production,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  450cc,50.3,37/9500,,international 6-speed,standard,-,1995x715x1140,795,169,14,190,-,,-,,"Mist Silver Black, Starlight White"
春风 500SR VOOM,37980,Spring,sports car,domestic production,Zhejiang Chunfeng Power Co.,inline four cylinder four stroke water-cooled  500cc,82.9,61/12500,,international 6-speed,standard,-,2010x715x1115,795,194,15.5,220,-,,-,,"Spring Breeze Blue, Starlight White"
春风 夜猫CF150-2C,12800,Spring,sports car,domestic production,,single cylinder four stroke water-cooled  150cc,14.3,10.5/9000,,international 5-speed,none,-,1920x705x1100,800,138,13,115,-,,-,,
春风 1000 SR-2102,,Chunfeng,sports car,domestic production,,-,,,,-,-,-,,,,0,,-,,-,,
春风 675SR,,Chunfeng,sports car,domestic production,Zhejiang Chunfeng Power Co.,inline three cylinder four stroke water-cooled  675cc,95.2,70/10250,,international 6-speed,standard,-,2020x728x1105,,195,0,219,-,,-,,"Starlight White, Starlight Black"
春风 250CL-C,14980,Spring,Cruising Crown Prince,Domestic,Zhejiang Chunfeng Power Co.,single cylinder four stroke water-cooled  250cc,25.2,18.5/9800,,international 6-speed,standard,-,2211x805x1075,690,165,13.5,128,-,,400,,"British green, Bordeaux red, Starlight black"
春风 250CL-X,18980,Spring,Retro,Domestic,Zhejiang Chunfeng Power Co.,single cylinder four stroke water-cooled  250cc,27.9,20.5/9750,,international 6-speed,standard,xx(mm),2020x835x1138,795,155,14.5,,-,,-,of,"Starlight White, Starlight Black"
春风 450CL-C,26580,Spring,Cruising Crown Prince,Domestic,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  450cc,40.8,30/8000,,international 6-speed,standard,-,2205x805x1110,705,181,12,153,-,,-,,
春风 700CL-X,45800,Spring,Retro,Domestic,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  700cc,74.8,55/8500,,international 6-speed,standard,xx(mm),2107x887x1200,800,196,13,180,5.6,,-,,"Speed Grey, Zircon Black"
春风 150NK,11980,Spring,street car,domestic production,Zhejiang Chunfeng Power Co.,single cylinder four stroke water-cooled  150cc,12.0,8.8/8500,,international 6-speed,none,xx(mm),2025x770x1070,775,142,10,110,2.5,,300,,"Titanium Grey, Turquoise Blue"
春风 250NK,18900,Spring,street car,domestic production,Zhejiang Chunfeng Power Co.,single cylinder four stroke water-cooled  250cc,27.9,20.5/9750,,international 6-speed,standard,xx(mm),1990x780x1090,795,158,12.5,,-,,-,,"Starlight Black, Athens Blue"
春风 400NK,29900,Spring,street car,domestic production,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  400cc,41.5,30.5/9500,,international 6-speed,standard,xx(mm),2114x830x1105,780,206,17,160,5.2,,300,,"Elegant Blue, Starlight White"
春风 450NK,26880,Spring,street car,domestic production,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  450cc,50.3,37/9500,,international 6-speed,standard,-,2000x810x1130,795,165,14,178,-,,-,,"Starlight White, Spring Breeze Blue, Starlight Black"
春风 650NK,40900,Spring,street car,domestic production,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  650cc,61.2,45/8750,,international 6-speed,standard,xx(mm),2114x830x1105,780,206,17,180,4.7,,250,,"Elegant Blue, Starlight White"
春风 800NK,44980,Spring,street car,domestic production,Zhejiang Chunfeng Kaitemo Locomotive Co.,inline dual cylinder four stroke water-cooled  800cc,100.6,74/9000,,international 6-speed,standard,-,2146x818x1120,795,186,15,220,-,,-,,"Starlight White, Zircon Black"
春风 V 1000 Concept,,Chunfeng,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1000cc,,,,international 6-speed,standard,-,,,,0,,-,,-,,
春风 450MT,33580,Spring,tension,domestically produced,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  450cc,44.2,32.5/8500,,international 6-speed,standard,-,2210x910x1390,820,205,17.5,152,-,,-,,"Spring Breeze Blue, Geometry Grey, Geometry Grey (high mudguard), Spring Breeze Blue (high mudguard)"
春风 650MT,43800,Spring,tension,domestically produced,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  650cc,61.2,45/8750,,international 6-speed,standard,xx(mm),2150x835x1332,820,219,18,180,-,,-,,"Starlight White, Elegant Blue"
春风 800MT,58680,Spring,tension,domestically produced,Zhejiang Chunfeng Kaitemo Locomotive Co.,inline dual cylinder four stroke water-cooled  800cc,95.2,70/9000,,international 6-speed,standard,xx(mm),2340x910x1340,825,231,19,190,-,,-,,"Starry White, Sapphire Black"
春风 700MT(海外),,Chunfeng,tension,domestically produced,,inline dual cylinder four stroke water-cooled  700cc,74.8,55/8500,,international 6-speed,standard,-,2180x835x1332,820,218,18,,-,,-,,"Nebula Black, Nebula White"
春风 150SC,14380,Spring,pedal,domestic,Zhejiang Chunfeng Power Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,2055x750x1120,765,139,8.5,99,-,,-,,"matte silver plating, sky blue, sapphire black, moonlight silver"
春风 狒狒经典,7680,Spring,MINI,Domestic,,single cylinder four stroke air-cooled  125cc,9.5,7/8500,,international 6-speed,none,-,1730x780x1000,700,110,6.5,90,-,,-,,Flag color of the United States
春风 ST狒狒,8980,Spring,MINI,Domestic,,single cylinder four stroke air-cooled  125cc,9.5,7/8500,,international 6-speed,none,-,1724x750x995,775,114,7,105,-,,-,,Deep Space Grey
春风 XO狒狒,10680,Spring,MINI,Domestic,Zhejiang Chunfeng Power Co.,single cylinder four stroke air-cooled  125cc,9.5,7/8500,,international 6-speed,standard,-,1750x700x975,760,114,7,90,-,,-,,"Andes Black, Rocky Grey"
春风 Papio Nova,26980,Spring,MINI,Domestic,Zhejiang Chunfeng Power Co.,,17.0,12.5/,,,standard,-,1770x790x1045,770,124,,112,,,120,,"Succulent Blue, Electro Blue, Lemon Green, Starlight White"
春风 650TR,49800,Spring,,domestic production,,inline dual cylinder four stroke water-cooled  650cc,70.7,52/8500,,international 6-speed,-,-,2145x820x1290,795,220,17.5,200,-,,-,,
春风 650TR-G,59900,Spring,,domestic production,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  650cc,61.2,45/8750,,international 6-speed,standard,xx(mm),2210x998x1360,780,252,22,170,-,,300,,"Starlight Black, Starlight White"
春风 1250TR-G,109980,Spring,,domestic production,Zhejiang Chunfeng Power Co.,V-type twin cylinder four stroke water-cooled  1250cc,142.8,105/8500,,international 6-speed,standard,xx(mm),2271x982x1516,820,304,23,220,-,,-,,Starry White
春风 400GT,33800,Spring,,domestic production,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  400cc,41.5,30.5/9500,,international 6-speed,standard,xx(mm),2100x784x1300,795,211,19,160,4.6,,400,,"Elegant Blue, Starlight White"
春风 650GT,43800,Spring,,domestic production,Zhejiang Chunfeng Power Co.,inline dual cylinder four stroke water-cooled  650cc,61.2,45/8750,,international 6-speed,standard,xx(mm),2100x930x1300,795,236,19,170,-,,-,,"Starlight White, Knight Black"
春风 CFORCE 110,6899,Spring,,,,single cylinder four stroke air-cooled  110cc,,,,-,-,xx(mm),1483x943x925,,130,6.4,45,-,,-,,"Electric Blue, Speed Red"
春风 CFORCE EV110,18800,Spring,,,,,,,,,-,xx(mm),1500x935x950,,130,,45,,,60,,"Polar White/Flame Orange, Polar White/Lemon Green"
春风 CFORCE 450,31800,Spring,,,,single cylinder four stroke water-cooled  400cc,30.6,22.5/7200,,CVT continuously variable transmission automatic transmission,none,xx(mm),2386x1125x1205,520,350,17,85,-,,-,,"Dark Spring Green, Speed Red, Flame Orange, Starlight Black"
春风 CFORCE 520,33800,Spring,,,,single cylinder four stroke water-cooled  500cc,34.5,25.35/6750,,CVT continuously variable transmission automatic transmission,-,-,2386x1125x1217,,365,17,90,-,,-,,"Magma Red, Hunting Maple Leaf Camouflage, Flame Orange, New Royal Blue"
春风 CFORCE 550,43000,Spring,,,,single cylinder four stroke water-cooled  495cc,58.5,43/5800,,-,-,-,2350,530,375,18,90,-,,-,,
春风 CFORCE 625,46800,Spring,,,,single cylinder four stroke water-cooled  600cc,44.9,33/6500,,-,-,-,2235x1180x1390,,415,18,,-,,-,,"Magma Red, Starlight Black, Speed Grey, Hunting Maple Leaf Camouflage"
春风 CFORCE 850,69800,Spring,,,,V-type twin cylinder four stroke water-cooled  800cc,76.0,55.93/7250,,CVT continuously variable transmission automatic transmission,-,-,2445x1264x1450,,465,30,,-,,-,,"Geometric Grey, Hunting Maple Leaf Camouflage, Flame Orange"
春风 CFORCE 1000,75800,Spring,,,,V-type twin cylinder four stroke water-cooled  1000cc,91.2,67.11/7000,,CVT continuously variable transmission automatic transmission,-,-,2445x1282x1465,585,472,26,,-,,-,,
春风 CFORCE 800 XC,,Chunfeng,,,,V-type twin cylinder four stroke water-cooled  800cc,88.4,65/7000,,-,-,-,2395,914.4,,30,,-,,-,,
春风 CFORCE 500 EPS,,Chunfeng,,,,single cylinder four stroke water-cooled  500cc,,,,-,-,-,,,,0,,-,,-,,
春风 ZFORCE 950,98800,Spring,,,,V-type twin cylinder four stroke water-cooled  950cc,86.2,63.38/7500,,-,-,-,3827x1524x1880,,795,37,,-,,-,,"Desert Yellow, Starlight Black, Flame Orange"
春风 ZFORCE 1000,96800,Spring,,,,V-type twin cylinder four stroke water-cooled  1000cc,90.0,66.2/7750,,CVT continuously variable transmission automatic transmission,-,-,3020x1820x1850,745,685,36.5,,-,,-,,"Desert Yellow, Flame Orange, Starlight Black"
春风 ZFORCE 550,49800,Spring,,,,single cylinder four stroke water-cooled  500cc,38.1,28/6800,,,-,xx(mm),2870x1510x1830,395,,24.5,,-,,-,,
春风 UFORCE 600,62800,Spring,,,,single cylinder four stroke water-cooled  600cc,36.7,27/6250,,CVT continuously variable transmission automatic transmission,-,xx(mm),2280x1470x1950,,640,35,,-,,-,,"Desert Yellow, Maple Leaf Camouflage"
